sim_id,f1_2008,f2_2020,f3_2022,f4_terminal,f5_annual_worst,dollar_ret_1p,dollar_ret_6p,dollar_ret_13p,dollar_ret_26p,avg_eps_1q,avg_eps_2q,avg_eps_4q,avg_eps_8q
160871312,368092.81022262573,46963.32099723816,0.0,1422285.3681993484,-0.021486610616344604,0.604574136,0.852577861,0.781177922,0.5921829,0.06360600300000001,0.009072239,0.076993765,0.191724879
876840312,364428.90873622894,47276.720724105835,0.0,1408665.6950407028,-0.021524104270862487,0.614831124,0.847477692,0.832277674,0.621831771,5.551115123125783e-17,0.019394645000000002,0.072988362,0.09202842300000007
9367056517,480844.8648405075,47998.83005237579,0.0,1420499.0429081917,-0.02158021154608858,0.603068618,0.850974038,0.780071549,0.597199978,0.04050421700000002,0.015986387000000005,0.065125822,0.22023352200000001
3590894591,485871.8411746025,47716.394267082214,0.0,1406880.5630364418,-0.021568615170825645,0.611495699,0.851157625,0.776395427,0.592846816,0.04124636300000002,0.015771783000000004,0.068397434,0.208635226
3619104505,448623.6617555618,46963.32099723816,0.0,1433088.6295814514,-0.02151776022358942,0.607356454,0.853683329,0.776021106,0.593172591,0.06785603,0.010870301999999998,0.079260755,0.196931171
5578201009,394819.55376291275,47526.073578834534,0.0,1426172.1948304176,-0.020083220433677718,0.597926895,0.882759102,0.822420911,0.601262279,0.06101218300000001,0.0,0.08052659600000002,0.21748648599999998
4258373450,454545.1409139633,48008.273745536804,0.0,1408534.4079723358,-0.02156725822241612,0.602485802,0.857002754,0.77979401,0.593247772,0.04000903400000002,0.018185281000000005,0.069583465,0.225555612
2371420246,364804.1210093498,47035.144536972046,0.0,1496090.5409684181,-0.021535057104331123,0.672317703,0.809402089,0.814352075,0.597097941,8.326672684688674e-17,0.018267778000000005,0.05122265800000002,0.0789874880000001
7244945276,459864.24830436707,48694.96537780762,0.0,1435778.1435251236,-0.021589635966033027,0.618411649,0.845598534,0.831860833,0.611902273,0.07988919,0.002607705000000007,0.047415375000000023,0.236232438
876512154,422954.68832826614,47710.15709400177,0.0,1423960.2034950256,-0.021561887751751274,0.603845735,0.844351773,0.785468346,0.598226189,0.06565011600000001,0.0012014580000000007,0.07928241600000001,0.24035466699999997
5945903652,389698.8169989586,47647.826009750366,0.0,1420941.2319626808,-0.021503461752505504,0.61412646,0.843258703,0.825334886,0.6115875,0.05435850400000002,0.0,0.07085452300000002,0.22207742399999997
2279585008,430472.30012893677,47358.119482040405,0.0,1515175.847999096,-0.02156495833098082,0.679104164,0.820714996,0.81992556,0.58242435,0.011078525000000089,0.0,0.06538672000000001,0.09973569300000008
7422959533,381197.98294878006,47393.78218650818,0.0,1422251.7521543503,-0.02147249811656815,0.663673216,0.820739655,0.811930788,0.59423839,0.023227070000000072,0.0,0.07044675900000003,0.044198446000000086
6860182198,485573.147298336,47704.561425209045,0.0,1424518.6723051071,-0.021570346304281007,0.60567486,0.85410764,0.77704855,0.592905493,0.04395353100000001,0.015178124000000003,0.06643406,0.217419013
4814646255,298171.9831557274,46963.32099723816,0.0,1481992.3380103111,-0.02153001520431186,0.668950108,0.819936865,0.811636902,0.589037343,6.938893903907228e-17,0.018960966000000006,0.054603780000000005,0.07343306300000012
1099357609,277728.42169713974,46963.32099723816,0.0,1412459.8264975548,-0.02147100744991637,0.666004573,0.822659655,0.811078416,0.591992169,0.012358240000000062,0.010228036,0.07046912400000002,0.04365361100000009
9268919834,398010.0528373718,47274.68298149109,0.0,1385164.322414875,-0.021288756099113848,0.65887174,0.818718004,0.801303556,0.591278377,0.023185926000000058,0.007807656999999999,0.07424749700000001,0.03217052300000012
6475452644,403327.8360967636,47908.749713897705,0.0,1446792.349246502,-0.02153430498627218,0.593386505,0.881858021,0.819776981,0.601773503,0.06250593800000001,0.0,0.08073419600000001,0.21871113399999997
9627288737,341635.08608436584,47650.062039375305,0.0,1393869.1367440224,-0.02168373768301335,0.609865421,0.848001483,0.780686768,0.597173109,0.06001211000000001,0.007828816000000006,0.059426876000000003,0.288178943
9682254343,330099.16480493546,46984.32099723816,0.0,1473511.5579805374,-0.021360761142371842,0.663942345,0.822153252,0.821161196,0.5943492,0.027295030000000046,0.0,0.07402342000000003,0.03809483200000008
1275774969,373907.6063885689,47030.38254356384,0.0,1431143.5024638176,-0.021441010204844013,0.660238319,0.82032953,0.815212726,0.593383571,0.027765399000000045,0.003430258999999998,0.07362067400000002,0.015502863000000144
9524474061,633174.937160492,47904.80161190033,0.0,1409649.212849617,-0.024499470122612554,0.606654874,0.846941696,0.783673731,0.595784671,0.06083699700000001,0.0,0.07468102,0.244728463
6591905401,336420.07765340805,45459.6891002655,0.0,1433630.254298687,-0.021591770219336004,0.602029483,0.84532872,0.785588953,0.598373198,0.06664675900000001,0.0018925019999999973,0.081403194,0.24702408799999998
8101510291,471329.2899942398,47337.119482040405,0.0,1408947.6931986809,-0.021485007438141634,0.605675249,0.854108107,0.777048097,0.59290486,0.075243524,0.007899672,0.077327971,0.185417502
1367898151,368908.7099251747,48015.409417152405,0.0,1457480.5835909843,-0.02159231293442554,0.606480944,0.854553427,0.778151883,0.592985254,0.03998777900000003,0.015446357000000004,0.066241106,0.21469076600000003
5839577455,273426.0960073471,47009.38254356384,0.0,1459190.9091687202,-0.021424176053528088,0.664344864,0.823068993,0.811454856,0.588522312,0.02770847300000004,1.734723475976807e-18,0.07345433600000002,0.03064385500000008
9415013086,484196.9129676819,47569.4645986557,0.0,1404459.9302945137,-0.021559409848086353,0.610360697,0.84716322,0.779392467,0.596887658,0.040546834000000025,0.016036184000000005,0.065216755,0.220434149
6539398116,391834.35540914536,47895.10424613953,0.0,1456763.2645463943,-0.02154592524092991,0.618359078,0.845563186,0.831934733,0.611871541,0.079890503,0.0026943490000000073,0.047419213000000016,0.235883148
5224094577,339942.1129589081,47544.35387611389,0.0,1421064.7593135834,-0.021497821394707683,0.602359639,0.849647464,0.784301998,0.596622652,0.027383869000000033,0.029595078000000004,0.06447798399999999,0.19888442500000003
6410974016,387408.07223415375,47274.68298149109,0.0,1401656.0783276558,-0.02129189993763514,0.648176236,0.8253334,0.800388488,0.596278241,0.02767480700000005,0.002992080999999999,0.07359998400000002,0.017621732000000084
